focus,voice_instrumental_value,instrumental,voice,danceability_value,danceable,not_danceable,mood_acoustic_value,acoustic,not_acoustic,mood_aggressive_value,aggressive,not_aggressive,mood_party_value,party,not_party,mood_relaxed_value,relaxed,not_relaxed,tone,bpm
1,instrumental,0.977856576443,0.0221434086561,danceable,0.640376389027,0.359623610973,not_acoustic,0.0132652474567,0.986734747887,not_aggressive,0.452266395092,0.547733604908,party,0.520829677582,0.479170322418,relaxed,0.537121295929,0.462878674269,minor,163.045089722
1,voice,0.371402978897,0.628597021103,danceable,0.957021951675,0.0429780520499,not_acoustic,0.0859457850456,0.914054214954,not_aggressive,0.268582522869,0.731417477131,not_party,0.475113481283,0.524886548519,relaxed,0.609346866608,0.39065310359,minor,102.943237305
1,voice,0.445250511169,0.554749488831,not_danceable,0.0858637839556,0.914136230946,acoustic,0.881151974201,0.1188480407,not_aggressive,0.186218202114,0.813781797886,not_party,0.0797513350844,0.920248687267,relaxed,0.97286760807,0.0271324180067,major,93.7809295654
1,instrumental,0.857658207417,0.142341807485,danceable,0.708646774292,0.291353225708,not_acoustic,0.00541123142466,0.994588792324,aggressive,0.998058736324,0.00194125773851,party,0.918059051037,0.0819409638643,not_relaxed,0.199095740914,0.800904273987,major,132.710006714
1,voice,0.0140604265034,0.985939562321,danceable,0.926596224308,0.0734037682414,not_acoustic,0.348789662123,0.65121036768,not_aggressive,0.00624657375738,0.993753433228,not_party,0.45046287775,0.54953712225,relaxed,0.556972980499,0.443027019501,major,128.993560791
1,instrumental,0.999988913536,1.11079089038e-05,not_danceable,3.00000096379e-14,1,not_acoustic,0.0955903604627,0.904409646988,not_aggressive,3.00000096379e-14,1,not_party,1.57784197654e-05,0.999984204769,relaxed,0.808817088604,0.191182896495,minor,107.519004822
1,instrumental,0.64110738039,0.35889261961,not_danceable,0.0538718439639,0.946128129959,acoustic,0.871150255203,0.128849744797,not_aggressive,0.0102003756911,0.989799618721,not_party,0.0231572743505,0.976842701435,relaxed,0.91295927763,0.0870407000184,major,106.731437683
1,voice,0.000533730781171,0.999466240406,not_danceable,0.0414492599666,0.958550751209,acoustic,0.866386294365,0.133613720536,not_aggressive,1.2003251868e-05,0.999988019466,not_party,0.0765033066273,0.923496723175,relaxed,0.950202226639,0.0497977845371,major,111.006370544
1,voice,0.000301047170069,0.999698936939,danceable,0.666850745678,0.333149254322,acoustic,0.95878559351,0.0412143990397,not_aggressive,0.0274444371462,0.972555577755,not_party,0.190606027842,0.809393942356,not_relaxed,0.412522494793,0.587477505207,major,91.0714035034
1,voice,0.205892294645,0.794107735157,not_danceable,0.0888235643506,0.9111764431,acoustic,0.77706438303,0.222935631871,not_aggressive,0.0519189797342,0.948081016541,not_party,0.060860786587,0.939139187336,relaxed,0.963836610317,0.0361633934081,major,114.983940125
1,instrumental,0.999999880791,1.24038649574e-07,not_danceable,3.00000096379e-14,1,not_acoustic,0.0955897942185,0.90441018343,not_aggressive,3.00000096379e-14,1,not_party,1.57784197654e-05,0.999984204769,relaxed,0.808817088604,0.191182896495,minor,117.856735229
1,voice,0.328903377056,0.671096622944,danceable,0.679322302341,0.320677697659,not_acoustic,0.286169677973,0.713830292225,not_aggressive,0.00283448607661,0.997165501118,not_party,0.134174674749,0.865825295448,relaxed,0.768271028996,0.231728956103,major,91.9740447998
1,instrumental,0.626738131046,0.373261839151,not_danceable,0.380359500647,0.619640529156,not_acoustic,7.32951457394e-06,0.999992668629,aggressive,0.93858230114,0.0614176802337,party,0.768816888332,0.231183081865,not_relaxed,0.111162699759,0.888837277889,major,90.9038238525
1,instrumental,0.999987125397,1.2902150047e-05,not_danceable,3.00000096379e-14,1,not_acoustic,0.0955903679132,0.904409646988,not_aggressive,3.00000096379e-14,1,not_party,1.57784197654e-05,0.999984204769,relaxed,0.808817088604,0.191182896495,major,117.848831177
1,instrumental,0.99999910593,8.96832148101e-07,not_danceable,0.0248959101737,0.975104093552,acoustic,0.813308358192,0.186691612005,not_aggressive,0.0376863963902,0.962313592434,not_party,0.0250466372818,0.974953353405,relaxed,0.948521912098,0.051478061825,major,111.754058838
1,instrumental,0.999999403954,5.7809666032e-07,not_danceable,0.0151296295226,0.984870374203,acoustic,0.81045460701,0.189545363188,not_aggressive,0.0161525700241,0.983847439289,not_party,0.0124000459909,0.98759996891,relaxed,0.980775892735,0.0192240830511,minor,97.1508483887
1,instrumental,0.87810343504,0.12189655751,not_danceable,0.0182729456574,0.981727063656,not_acoustic,0.197043091059,0.802956938744,not_aggressive,0.0130177726969,0.986982226372,not_party,0.0865270271897,0.913472950459,relaxed,0.934747159481,0.0652528628707,minor,79.5778045654
1,instrumental,0.999990820885,9.20369166124e-06,not_danceable,3.00000096379e-14,1,not_acoustic,0.0955903604627,0.904409646988,not_aggressive,3.00000096379e-14,1,not_party,1.57784197654e-05,0.999984204769,relaxed,0.808817088604,0.191182896495,major,95.3868484497
1,instrumental,0.900381803513,0.0996181741357,not_danceable,0.00834073126316,0.991659283638,acoustic,0.638249456882,0.361750543118,not_aggressive,0.0164285302162,0.983571469784,not_party,0.0291102621704,0.970889747143,relaxed,0.993748307228,0.00625167880207,major,101.924957275
